event_id,event_ts,cam_id,event_type,track_id,person_id,person_name,bbox,posture,people_count,confidence,snapshot_path,extra
163,2026-03-24 06:00:31.464039-07,CAM_01,FALL,3,,,"[0, 2, 1071, 707]",lying,1,,,{}
164,2026-03-24 06:00:31.479228-07,CAM_01,LYING,3,,,"[0, 2, 1071, 707]",lying,1,,,{}
165,2026-03-24 06:01:25.331572-07,CAM_01,LYING,3,,,"[0, 0, 1278, 701]",lying,1,,,{}
166,2026-03-24 06:13:32.625822-07,CAM_01,LYING,24,,,"[131, 1, 1279, 705]",lying,1,,,{}
167,2026-03-24 06:17:21.923083-07,CAM_01,LYING,52,,,"[817, 346, 1278, 712]",lying,1,,,{}
168,2026-03-24 06:30:39.449395-07,CAM_01,LYING,71,,,"[1082, 54, 1279, 711]",lying,1,,,{}
169,2026-03-24 06:35:04.26793-07,CAM_01,FALL,88,,,"[899, 3, 1278, 712]",lying,1,,,{}
170,2026-03-24 06:35:04.284007-07,CAM_01,LYING,88,,,"[899, 3, 1278, 712]",lying,1,,,{}
171,2026-03-24 06:39:11.524523-07,CAM_01,LYING,90,,,"[1084, 0, 1279, 703]",lying,1,,,{}
172,2026-03-24 07:27:03.414158-07,CAM_01,FALL,2,,,"[411, 102, 1278, 710]",lying,1,,,{}
173,2026-03-24 07:27:03.434029-07,CAM_01,LYING,2,,,"[411, 102, 1278, 710]",lying,1,,,{}
174,2026-03-24 07:27:14.959916-07,CAM_01,FALL,2,,,"[484, 98, 1260, 708]",lying,1,,,{}
175,2026-03-24 07:27:14.979892-07,CAM_01,LYING,2,,,"[484, 98, 1260, 708]",lying,1,,,{}
176,2026-03-24 07:27:31.3909-07,CAM_01,FALL,2,,,"[0, 16, 1142, 713]",lying,1,,,{}
177,2026-03-24 07:27:31.403402-07,CAM_01,LYING,2,,,"[0, 16, 1142, 713]",lying,1,,,{}
178,2026-03-24 07:27:32.654984-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
179,2026-03-24 07:27:41.193437-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
180,2026-03-24 07:27:49.210662-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
181,2026-03-24 07:27:52.25466-07,CAM_01,FALL,2,,,"[268, 29, 1142, 709]",lying,2,,,{}
182,2026-03-24 07:27:52.270614-07,CAM_01,LYING,2,,,"[268, 29, 1142, 709]",lying,2,,,{}
183,2026-03-24 07:38:48.506073-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
184,2026-03-24 07:38:56.510221-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
185,2026-03-24 07:39:04.569737-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
186,2026-03-24 07:39:12.616415-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
187,2026-03-24 07:39:20.63706-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 2}"
188,2026-03-24 19:17:48.087493-07,CAM_01,LYING,2,,,"[317, 0, 1278, 706]",lying,1,,,{}
189,2026-03-24 19:17:59.387678-07,CAM_01,FALL,2,,,"[0, 3, 1277, 710]",lying,1,,,{}
190,2026-03-24 19:17:59.401813-07,CAM_01,LYING,2,,,"[0, 3, 1277, 710]",lying,1,,,{}
191,2026-03-24 19:18:01.226938-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
192,2026-03-24 19:18:09.638303-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
193,2026-03-24 19:18:20.419504-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
194,2026-03-24 19:18:28.442327-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
195,2026-03-24 19:18:32.060603-07,CAM_01,FALL,2,,,"[0, 7, 1277, 710]",lying,1,,,{}
196,2026-03-24 19:18:32.074743-07,CAM_01,LYING,2,,,"[0, 7, 1277, 710]",lying,1,,,{}
197,2026-03-24 19:20:47.440381-07,CAM_01,FALL,2,,,"[426, 89, 1279, 711]",lying,1,,,{}
198,2026-03-24 19:20:47.451408-07,CAM_01,LYING,2,,,"[426, 89, 1279, 711]",lying,1,,,{}
199,2026-03-24 19:24:07.372844-07,CAM_01,FALL,2,,,"[364, 1, 1278, 715]",lying,2,,,{}
200,2026-03-24 19:24:07.386647-07,CAM_01,LYING,2,,,"[364, 1, 1278, 715]",lying,2,,,{}
201,2026-03-24 19:24:28.437523-07,CAM_01,FALL,46,,,"[330, 0, 1279, 713]",lying,1,,,{}
202,2026-03-24 19:24:28.450579-07,CAM_01,LYING,46,,,"[330, 0, 1279, 713]",lying,1,,,{}
203,2026-03-25 00:19:15.008385-07,CAM_01,FALL,21,,,"[4, 3, 1005, 700]",lying,1,,,{}
204,2026-03-25 00:19:15.038189-07,CAM_01,LYING,21,,,"[4, 3, 1005, 700]",lying,1,,,{}
205,2026-03-25 00:19:23.208172-07,CAM_01,LYING,21,,,"[93, 2, 1261, 701]",lying,1,,,{}
206,2026-03-25 00:19:27.174407-07,CAM_01,FALL,21,,,"[80, 3, 1272, 700]",lying,1,,,{}
207,2026-03-25 00:23:18.63388-07,CAM_01,FALL,34,,,"[995, 6, 1278, 710]",lying,1,,,{}
208,2026-03-25 00:23:18.645054-07,CAM_01,LYING,34,,,"[995, 6, 1278, 710]",lying,1,,,{}
209,2026-03-25 00:27:24.558201-07,CAM_01,LYING,72,,,"[627, 285, 1278, 708]",lying,1,,,{}
210,2026-03-25 00:30:29.093574-07,CAM_01,FALL,103,,,"[590, 188, 1279, 712]",lying,1,,,{}
211,2026-03-25 00:30:29.151109-07,CAM_01,LYING,103,,,"[590, 188, 1279, 712]",lying,1,,,{}
212,2026-03-25 00:31:09.657499-07,CAM_01,FALL,109,,,"[434, 56, 1279, 711]",lying,1,,,{}
213,2026-03-25 00:31:09.673416-07,CAM_01,LYING,109,,,"[434, 56, 1279, 711]",lying,1,,,{}
214,2026-03-25 00:31:18.887131-07,CAM_01,FALL,109,,,"[484, 97, 1279, 712]",lying,1,,,{}
215,2026-03-25 00:31:18.899606-07,CAM_01,LYING,109,,,"[484, 97, 1279, 712]",lying,1,,,{}
216,2026-03-25 00:31:31.799994-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
217,2026-03-25 00:31:39.816503-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
218,2026-03-25 00:31:48.443469-07,CAM_01,BOTTLE,,,,null,,1,,,"{""count"": 1}"
219,2026-03-25 00:31:54.364569-07,CAM_01,LYING,109,,,"[7, 3, 1277, 702]",lying,1,,,{}
220,2026-03-25 00:31:56.856284-07,CAM_01,FALL,109,,,"[769, 5, 1278, 710]",lying,1,,,{}
221,2026-03-25 00:32:05.271938-07,CAM_01,FALL,109,,,"[857, 1, 1278, 713]",lying,1,,,{}
222,2026-03-25 00:32:05.288232-07,CAM_01,LYING,109,,,"[857, 1, 1278, 713]",lying,1,,,{}
223,2026-03-25 00:32:25.374062-07,CAM_01,LYING,109,,,"[884, 4, 1279, 712]",lying,1,,,{}
224,2026-03-25 00:33:28.097131-07,CAM_01,FALL,123,,,"[737, 5, 1278, 708]",lying,1,,,{}
225,2026-03-25 00:33:28.111239-07,CAM_01,LYING,123,,,"[737, 5, 1278, 708]",lying,1,,,{}
226,2026-03-25 00:33:55.492188-07,CAM_01,LYING,123,,,"[746, 6, 1278, 707]",lying,1,,,{}
227,2026-03-25 00:33:57.696149-07,CAM_01,FALL,123,,,"[749, 4, 1278, 709]",lying,1,,,{}
228,2026-03-25 00:34:11.421664-07,CAM_01,FALL,123,,,"[899, 2, 1279, 714]",lying,1,,,{}
229,2026-03-25 00:34:11.440792-07,CAM_01,LYING,123,,,"[899, 2, 1279, 714]",lying,1,,,{}
230,2026-03-25 00:34:44.393036-07,CAM_01,FALL,123,,,"[374, 9, 1279, 712]",lying,1,,,{}
231,2026-03-25 00:34:44.424028-07,CAM_01,LYING,123,,,"[374, 9, 1279, 712]",lying,1,,,{}
232,2026-03-25 00:35:01.139092-07,CAM_01,FALL,123,,,"[480, 74, 1279, 709]",lying,1,,,{}
233,2026-03-25 00:35:01.152474-07,CAM_01,LYING,123,,,"[480, 74, 1279, 709]",lying,1,,,{}
234,2026-03-25 00:35:14.21187-07,CAM_01,FALL,123,,,"[553, 6, 1278, 706]",lying,1,,,{}
235,2026-03-25 00:35:14.23321-07,CAM_01,LYING,123,,,"[553, 6, 1278, 706]",lying,1,,,{}
236,2026-03-25 00:35:26.639092-07,CAM_01,FALL,123,,,"[484, 128, 1278, 709]",lying,1,,,{}
237,2026-03-25 00:35:26.651227-07,CAM_01,LYING,123,,,"[484, 128, 1278, 709]",lying,1,,,{}
238,2026-03-25 00:37:05.824184-07,CAM_01,FALL,142,,,"[703, 5, 1278, 708]",lying,1,,,{}
239,2026-03-25 00:37:05.850929-07,CAM_01,LYING,142,,,"[703, 5, 1278, 708]",lying,1,,,{}
240,2026-03-25 00:38:00.848221-07,CAM_01,FALL,142,,,"[328, 175, 1036, 717]",lying,1,,,{}
241,2026-03-25 00:38:00.859372-07,CAM_01,LYING,142,,,"[328, 175, 1036, 717]",lying,1,,,{}
242,2026-03-25 00:38:08.887117-07,CAM_01,LYING,142,,,"[308, 208, 1127, 714]",lying,1,,,{}
243,2026-03-25 00:39:02.787132-07,CAM_01,FALL,142,,,"[765, 3, 1278, 712]",lying,1,,,{}
244,2026-03-25 00:39:02.802662-07,CAM_01,LYING,142,,,"[765, 3, 1278, 712]",lying,1,,,{}
245,2026-03-25 00:40:20.130259-07,CAM_01,FALL,156,,,"[823, 0, 1279, 713]",lying,1,,,{}
246,2026-03-25 00:40:20.172133-07,CAM_01,LYING,156,,,"[823, 0, 1279, 713]",lying,1,,,{}
247,2026-03-25 00:40:46.103236-07,CAM_01,FALL,163,,,"[489, 159, 1278, 711]",lying,1,,,{}
248,2026-03-25 00:40:46.134849-07,CAM_01,LYING,163,,,"[489, 159, 1278, 711]",lying,1,,,{}
249,2026-03-25 00:40:54.125154-07,CAM_01,LYING,163,,,"[761, 11, 1279, 712]",lying,1,,,{}
250,2026-03-25 00:40:54.856997-07,CAM_01,FALL,163,,,"[759, 8, 1279, 712]",lying,1,,,{}
251,2026-03-25 00:41:02.146845-07,CAM_01,LYING,163,,,"[765, 9, 1279, 714]",lying,1,,,{}
